FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,G0
0,5495.591584,7,42360583.6288,0.00392156862745098
1,5495.624896,2,42360615.8976,0.0337407448748
2,5495.658208,2,42360649.2288,0.0337695799382372
3,5495.691552,2,42360682.496,0.0356615321650482
4,5495.724896,2,42360715.8912,0.0337295829147598
5,5495.758208,2,42360749.184,0.0356224653049075
6,5495.791552,2,42360782.464,0.0356950180451687
7,5495.824896,2,42360815.8592,0.0356745544517617
8,5495.858208,2,42360849.2544,0.0356150239982141
9,5495.891552,2,42360882.5344,0.0356689734717416
10,5495.924896,2,42360915.8528,0.0356364177549578
11,5495.958208,2,42360949.056,0.0356419987349779
12,5495.991552,2,42360982.3232,0.0356792052684451
13,5496.024896,2,42361015.744,0.0356233954682442
14,5496.058208,2,42361049.1904,0.035673624288425
15,5496.09152,2,42361082.3936,0.035711760985229
16,5496.124864,2,42361115.8656,0.0356950180451687
17,5496.158208,2,42361149.0944,0.0357964058488671
18,5496.19152,2,42361182.4,0.0358596569557614
19,5496.224864,2,42361215.744,0.0359508129627563
20,5496.258176,2,42361249.2544,0.0361880046136102
21,5496.29152,2,42361282.5472,0.0365107712914388
22,5496.324864,2,42361315.8656,0.0368065632325036
23,5496.358176,2,42361349.2096,0.0370446850466942
24,5496.39152,2,42361382.6304,0.0372242065706738
25,5496.424864,2,42361415.8848,0.0373525691111359
26,5496.458176,2,42361449.216,0.0376678944822711
27,5496.49152,2,42361482.4704,0.0377711426126428
28,5496.524864,2,42361515.968,0.0379171782565018
29,5496.558176,2,42361549.2992,0.0379162480931652
30,5496.59152,2,42361582.5664,0.0379264798898687
31,5496.624832,2,42361615.9232,0.0378725304163411
32,5496.658176,2,42361649.2928,0.0377730029393161
33,5496.69152,2,42361682.432,0.0377069613424117
34,5496.724832,2,42361715.7632,0.0376027830487033
35,5496.758176,2,42361749.1328,0.0374948841016482
36,5496.79152,2,42361782.4512,0.0375032555716784
37,5496.824832,2,42361815.7696,0.037355359601146
38,5496.858176,2,42361849.28,0.0373534992744726
39,5496.891488,2,42361882.5728,0.0373776835212263
40,5496.924832,2,42361915.776,0.0373079212709752
41,5496.958176,2,42361949.248,0.0372037429772668
42,5496.991488,2,42361982.5024,0.0371851397105332
43,5497.024832,2,42362015.9488,0.0370084086765636
44,5497.058176,2,42362049.344,0.0369758529597797
45,5497.091488,2,42362082.6112,0.0368409792759609
46,5497.124832,2,42362115.9552,0.0366837816720616
47,5497.158144,2,42362149.2992,0.0366130892584738
48,5497.191488,2,42362182.6048,0.0365256539048257
49,5497.224832,2,42362215.9872,0.0364791457379916
50,5497.258144,2,42362249.28,0.0363731071176098
51,5497.291488,2,42362282.624,0.0363470625441828
52,5497.324832,2,42362315.84,0.0362084682070172
53,5497.358144,2,42362349.3248,0.0361089407299922
54,5497.391488,2,42362382.4768,0.036059642073148
55,5497.4248,2,42362415.808,0.0360103434163039
56,5497.458144,2,42362449.3056,0.0359815083528668
57,5497.491488,2,42362482.496,0.0358894221825352
58,5497.5248,2,42362515.7888,0.0358382631990177
59,5497.558144,2,42362549.1584,0.0358205900956208
60,5497.591456,2,42362582.5152,0.0357638501320832
61,5497.6248,2,42362615.8336,0.0357452468653496
62,5497.658144,2,42362649.1392,0.0356401384083045
63,5497.691456,2,42362682.624,0.0356271161215909
64,5497.7248,2,42362715.9552,0.0355582840346765
65,5497.758144,2,42362749.2736,0.0355443315846263
66,5497.791456,2,42362782.5152,0.0356308367749377
67,5497.8248,2,42362815.9872,0.0355443315846263
68,5497.858144,2,42362849.3312,0.0354234103508576
69,5497.891456,2,42362882.6752,0.0354308516575511
70,5497.9248,2,42362915.9168,0.0354475945976113
71,5497.958112,2,42362949.3248,0.0354178293708375
72,5497.991456,2,42362982.6304,0.0354131785541541
73,5498.0248,2,42363016.0128,0.0353564385906165
74,5498.058112,2,42363049.2032,0.0354913122744354
75,5498.091456,2,42363082.6624,0.0354745693343751
76,5498.1248,2,42363115.9808,0.0355964207314804
77,5498.158112,2,42363149.2096,0.0356038620381739
78,5498.191456,2,42363182.5408,0.0356075826915206
79,5498.224768,2,42363215.9488,0.0356661829817316
80,5498.258112,2,42363249.216,0.0357350150686461
81,5498.291456,2,42363282.5344,0.0357722216021133
82,5498.324768,2,42363315.8528,0.0357452468653496
83,5498.358112,2,42363349.184,0.0358094281355806
84,5498.391424,2,42363382.528,0.0358382631990177
85,5498.424768,2,42363415.8976,0.0357619898054098
86,5498.458112,2,42363449.28,0.0357359452319827
87,5498.491424,2,42363482.6752,0.0357898947055103
88,5498.524768,2,42363516.0064,0.0357815232354802
89,5498.558112,2,42363549.3376,0.0358019868288871
90,5498.591424,2,42363582.6048,0.0358810507125051
91,5498.624768,2,42363616,0.0358447743423745
92,5498.658112,2,42363649.4336,0.0359052349592588
93,5498.691424,2,42363682.7392,0.0359322096960226
94,5498.724768,2,42363716.0704,0.0359070952859322
95,5498.75808,2,42363749.3504,0.0359396510027161
96,5498.791424,2,42363782.7456,0.0360252260296908
97,5498.824768,2,42363815.9232,0.0360763850132083
98,5498.85808,2,42363849.3952,0.0360633627264948
99,5498.891424,2,42363882.5984,0.0361173122000223
100,5498.924768,2,42363916.0832,0.036238233433791
101,5498.95808,2,42363949.44,0.0361954459203036
102,5498.991424,2,42363982.72,0.0361656806935298
103,5499.024768,2,42364015.9232,0.0361080105666555
104,5499.058112,2,42364049.2288,0.0361498679168062
105,5499.091456,2,42364082.5984,0.0361880046136102
106,5499.124768,2,42364115.9168,0.0362066078803438
